
2019-03-22 18:39:36,853:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-22 18:39:36,854:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.000) SELECT VERSION(); args=None
2019-03-22 18:39:41,230:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SHOW FULL TABLES; args=None
2019-03-22 18:39:41,284:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); (params None)
2019-03-22 18:39:42,907:[django.db.backends]:[utils.py]-[90] [DEBUG]:(1.548) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); args=None
2019-03-22 18:39:43,311:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.163) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-03-22 18:39:43,394:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-03-22 18:39:43,495:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-03-22 18:39:43,620:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2019-03-22 18:39:43,766:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-22 18:39:47,038:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-22 18:39:47,039:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.000) SELECT @@sql_mode; args=None
2019-03-22 18:39:47,285:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT VERSION(); args=None
2019-03-22 18:39:49,282:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SHOW FULL TABLES; args=None
2019-03-22 18:39:49,333:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-22 18:39:49,398:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SHOW FULL TABLES; args=None
2019-03-22 18:39:49,448:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-22 18:39:49,642:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2019-03-22 18:39:50,809:[django.db.backends]:[utils.py]-[90] [DEBUG]:(1.087) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2019-03-22 18:39:51,069:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.126) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2019-03-22 18:39:51,136:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2019-03-22 18:39:51,203:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2019-03-22 18:39:51,278:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2019-03-22 18:39:51,369:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_model_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); (params ())
2019-03-22 18:39:53,813:[django.db.backends]:[utils.py]-[90] [DEBUG]:(2.352) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_model_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); args=()
2019-03-22 18:39:54,156:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SHOW FULL TABLES; args=None
2019-03-22 18:39:54,332:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2019-03-22 18:39:54.331009'); args=['contenttypes', u'0001_initial', u'2019-03-22 18:39:54.331009']
2019-03-22 18:39:55,188:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; (params [])
2019-03-22 18:39:56,394:[django.db.backends]:[utils.py]-[90] [DEBUG]:(1.135) ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; args=[]
2019-03-22 18:39:56,741:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:ALTER TABLE `django_content_type` DROP COLUMN `name`; (params ())
2019-03-22 18:40:00,314:[django.db.backends]:[utils.py]-[90] [DEBUG]:(3.463) ALTER TABLE `django_content_type` DROP COLUMN `name`; args=()
2019-03-22 18:40:00,535:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SHOW FULL TABLES; args=None
2019-03-22 18:40:00,752:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0002_remove_content_type_name', '2019-03-22 18:40:00.751379'); args=['contenttypes', u'0002_remove_content_type_name', u'2019-03-22 18:40:00.751379']
2019-03-22 18:40:00,952:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); (params None)
2019-03-22 18:40:03,057:[django.db.backends]:[utils.py]-[90] [DEBUG]:(1.931) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); args=None
2019-03-22 18:40:03,198:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.058) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2019-03-22 18:40:03,273:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2019-03-22 18:40:03,348:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2019-03-22 18:40:03,409:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2019-03-22 18:40:03,494:[django.db.backends.schema]:[schema.py]-[111] [DEBUG]:CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2019-03-22 18:40:07,440:[django.db.backends]:[utils.py]-[90] [DEBUG]:(3.758) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2019-03-22 18:40:08,129:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.397) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
2019-03-22 18:40:08,229:[django.db.backends]:[utils.py]-[90] [DEBUG]:(0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
